Level,Color,Prestige,Price,Image
1,ONYX,1,1_DIAMOND+1_SAPPHIRE+1_EMERALD+1_RUBY+0_ONYX,../path/to/image
1,ONYX,1,1_DIAMOND+2_SAPPHIRE+1_EMERALD+1_RUBY+0_ONYX,../path/to/image
1,ONYX,1,2_DIAMOND+2_SAPPHIRE+0_EMERALD+1_RUBY+0_ONYX,../path/to/image
1,ONYX,1,0_DIAMOND+0_SAPPHIRE+1_EMERALD+3_RUBY+1_ONYX,../path/to/image
1,ONYX,1,0_DIAMOND+0_SAPPHIRE+2_EMERALD+1_RUBY+0_ONYX,../path/to/image
1,ONYX,1,2_DIAMOND+0_SAPPHIRE+2_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,ONYX,1,0_DIAMOND+0_SAPPHIRE+3_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,ONYX,1,0_DIAMOND+4_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,SAPPHIRE,1,1_DIAMOND+0_SAPPHIRE+1_EMERALD+1_RUBY+1_ONYX,../path/to/image
1,SAPPHIRE,1,1_DIAMOND+0_SAPPHIRE+1_EMERALD+2_RUBY+1_ONYX,../path/to/image
1,SAPPHIRE,1,1_DIAMOND+0_SAPPHIRE+2_EMERALD+2_RUBY+0_ONYX,../path/to/image
1,SAPPHIRE,1,0_DIAMOND+1_SAPPHIRE+3_EMERALD+1_RUBY+0_ONYX,../path/to/image
1,SAPPHIRE,1,1_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+2_ONYX,../path/to/image
1,SAPPHIRE,1,0_DIAMOND+0_SAPPHIRE+2_EMERALD+0_RUBY+2_ONYX,../path/to/image
1,SAPPHIRE,1,0_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+3_ONYX,../path/to/image
1,SAPPHIRE,1,0_DIAMOND+0_SAPPHIRE+0_EMERALD+4_RUBY+0_ONYX,../path/to/image
1,DIAMOND,1,0_DIAMOND+1_SAPPHIRE+1_EMERALD+1_RUBY+1_ONYX,../path/to/image
1,DIAMOND,1,0_DIAMOND+1_SAPPHIRE+2_EMERALD+1_RUBY+1_ONYX,../path/to/image
1,DIAMOND,1,0_DIAMOND+2_SAPPHIRE+2_EMERALD+0_RUBY+1_ONYX,../path/to/image
1,DIAMOND,1,3_DIAMOND+1_SAPPHIRE+0_EMERALD+0_RUBY+1_ONYX,../path/to/image
1,DIAMOND,1,0_DIAMOND+0_SAPPHIRE+0_EMERALD+2_RUBY+1_ONYX,../path/to/image
1,DIAMOND,1,0_DIAMOND+2_SAPPHIRE+0_EMERALD+0_RUBY+2_ONYX,../path/to/image
1,DIAMOND,1,0_DIAMOND+3_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,DIAMOND,1,0_DIAMOND+0_SAPPHIRE+4_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,EMERALD,1,1_DIAMOND+1_SAPPHIRE+0_EMERALD+1_RUBY+1_ONYX,../path/to/image
1,EMERALD,1,1_DIAMOND+1_SAPPHIRE+0_EMERALD+1_RUBY+2_ONYX,../path/to/image
1,EMERALD,1,0_DIAMOND+1_SAPPHIRE+0_EMERALD+2_RUBY+2_ONYX,../path/to/image
1,EMERALD,1,1_DIAMOND+3_SAPPHIRE+1_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,EMERALD,1,2_DIAMOND+1_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
